Manufacturers Name,business name,date of accident,Time of Accident,AM/PM,vehicle year,make,model,state vehicle is registered in,address/location of accident,city,county,state,zip code,vehicle movment status,involved in the accident,number of vehicle involved,vehicle damage,Damage locations,other vehicle year,other vehicle model,other vehicle state registration,other vehicle movment status,other vehicle involved in accident,other vehicle number of vehicle involved,injury/death or property 1,injury/death or property 2,autonomus mode,accident decription,weather vehicle 1,weather vehicle 2,lighting vehicle 1,lighting vehicle 2,road surface vehicle 1,road surface vehicle 2,road conditions vehicle 1,road conditions vehicle 2,movment preceding collision vehicle 1,movment preceding collision vehicle 2,type of collsion vehcile 1,type of collsion vehcile 2,other factors,
Cruise Automation Inc,Cruise Automation Inc,01/08/2016,01:14,1,2012,Nissan,Leaf,-1,7th and Bryant,San Francisco,San Francisco,CA,94103,0,-1,2,-1,-1,Unkown,Toyota Prius,-1,1,-1,2,-1,-1,1,"A Cruise Nissan Leaf autonomous vehicle (""Cruise AV"") was in autonomous mode traveling north at approximately 20 miles per hour in
the right lane of 7th Street. The vehicle began moving within its lane to the left, and then began correcting to the right, at which point the driver decided to take over manual control. After taking over manual control, the operator did not change the path of the vehicle and
collided with an unoccupied Toyota Prius that was parallel parked on 7th Street approximately 20 feet before the intersection with Bryant
Street. The Prius sustained minor visible damage to the front left quarter panel area. The Cruise AV sustained minor visible damage to the
front right quarter panel area. There were no injuries.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Lexus,Google Auto LCC,02/14/2016,-1,1,2012,Lexus,RX450h,-1,El Camino Real and Castro St,Mountain view ,Santa Clara,CA,94043,0,-1,1,-1,-1,2002,"Newflyer Lowfloor Articulated Bus, series 2300",-1,0,-1,1,-1,-1,0,"A Google Lexus-model autonomous vehicle (""Google AV"") was traveling in autonomous mode eastbound on EI Camino Real in Mountain
View in the far right-hand lane approaching the Castro St. intersection. As the Google AV approached the intersection, it signaled its intent to make a right turn on red onto Castro St. The Google AV then moved to the right-hand side of the lane to pass traffic in the same lane that was stopped at the intersection and proceeding straight, However, the Google AV had to come to a stop and go around sandbags positioned around a storm drain that were blocking its path. When the light turned green, traffic in the lane continued past the Google AV. After a few cars had passed, the Google AV began to proceed back into the center of the lane to pass the sand bags. A public transit bus was
approaching from behind. The Google AV test driver saw the bus approaching in the left side mirror but believed the bus would stop or
slow to allow the Google AV to continue. Approximately three seconds later, as the Google AV was reentering the center of the lane it
made contact with the side of the bus. The Google AV was operating in autonomous mode and traveling at less than 2 mph, and the bus was
travelling at about 15 mph at the time of contact.

The Google AV sustained body damage to the left front fender, the left front wheel and one of its driver's-side sensors, There were no
injuries reported at the scene.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,04/07/2016,-1,0,2012,Lexus,RX450H,-1,Bryant St at Oregon Expy,PALO ALTO ,Santa Clara,CA,94301,1,-1,1,-1,-1,1999,Lexus LS400,-1,0,-1,1,-1,-1,0,"A GOOGLE LEXUS MODEL AUTONOMOUS VEHICLE (""GOOGLE AV"") WAS TRAVELLING SOUTHBOUND ON BRYANT ST. IN PALO ALTO IN AUTONOMOUS MODE AND WAS STOPPED BEHIND TRAFFIC AT THE RED LIGHT INTERSECTION OF OREGON EXPY. A VEHICLE ATTEMPTING TO PASS ON THE RIGHT SHOULDER VERY SLIGHTLY CONTACTED THE GOOGLE AV. THE OTHER VEHICLE'S LEFT SIDE-VIEW MIRROR GRAZED THE PASSENGER SIDE OF OUR VEHICLE. THERE WERE NO INJURIES REPORTED AT THE SCENE BY EITHER PARTY. THE GOOGLE AV SUSTAINED NO DAMAGE AND THE OTHER VEHICLE'S LEFT SIDE-VIEW MIRROR WAS SLIGHTLY FOLDED IN.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,04/28/2016,05:35,1,2015,Google ,Self Driving Car,-1,Nita Avenue & San Antonio Road,PALO ALTO ,Santa Clara,CA,94306,1,-1,-1,-1,-1,2015,Toyota Prius,-1,0,-1,2,-1,-1,0,"A Google prototype model autonomous vehicle (""Google AV"") proceeding westbound in autonomous mode on Nita Avenue in Palo Alto
was involved in an accident. The Google AV came to a stop at the intersection of San Antonio Road, then, prior to making a right turn on
San Antonio Road, began to gradually advance forward in order to get a better view of traffic approaching from the left on San Antonio
Road. When the Google AV stopped in order to yield to traffic approaching from the left on San Antonio Road, a vehicle approaching at
approximately 9 mph from behind the Google AV collided with the rear bumper of the Google AV.

There were no injuries reported by either party at the scene. Both vehicles sustained minor damage.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,05/04/2016,09:45,1,2015,Prototype,Prototype,-1,Latham St and Chiquita Ave,Mountain view ,Santa Clara,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"A Google prototype autonomous vehicle (""Google AV"") in manual mode proceeding westbound on Latham St. in Mountain View struck a
median while traveling at 9 mph near the intersection of Chiquita Ave. There were no other vehicles involved and no traffic in the vicinity.
There were no injuries. The Google AV sustained minor damage.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Nissan North America INC,Nissan North America INC,05/10/2016,-1,1,2010,Nissan,Leaf,-1,101 Hwy South Bound ,Sunnyvale,Santa Clara,CA,94089,0,-1,2,-1,-1,2010,Chevrolet Cobalt,-1,,-1,2,-1,-1,1,"The AV (subject vehicle) Driver was on Highway 101 S between NASA Ames Research Center and Exit 237 to Sunnyvale, at approximately 3:00 pm on Tuesday May 10, 2016. The AV functions of the subject vehicle were not engaged at the time (conventional mode). The subject vehicle had one passenger in the back seat. There was heavy traffic traveling at 20-40mph. The car traveling directly ahead of the subject vehicle stopped suddenly. The subject vehicle impacted the stopped vehicle at low speed. Both drivers pulled over to the shoulder of the road. No injuries were reported by either vehicle occupant in this minor crash. No airbags deployed in the crash. Except for minor scuff marks on the leading vehicle's rear bumper, no other body damage was observed. After exchange of information, both vehicles were driven away from the scene. The police were not called. No other vehicles were involved.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,07/15/2016,03:26,1,2015,Google ,Self Driving Car,-1,Cuesta Dr. & Springer Rd.,Los Altos,Santa Clara,CA,94024,1,-1,2,-1,-1,-1,Mitsubishi,-1,0,-1,-1,-1,-1,0,"A Google prototype autonomous vehicle (""Google AV"") operating in autonomous travelling westbound on Cuesta Dr. in Los Altos, CA was involved in an accident. The Google AV was stopped at the stop sign at the intersection of Cuesta Dr. and Springer Rd. when a vehicle approaching from behind in the same lane collided with the Google AV. The other vehicle was traveling at approximately 7 mph when it struck the Google AV. The Google AV sustained minor damage to its rear hatch and rear sensor. Google was unable to determine whether or not the other vehicle sustained any damage. There were no injuries reported at the scene. The driver of the vehicle left the scene without exchanging information. Police were notified of the incident.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,08/08/2016,-1,1,2015,Google ,Self Driving Car,-1,Rengstorff Ave & California St,Mountain view ,Santa Clara,CA,94043,0,-1,1,-1,-1,2005,325i,-1,0,-1,1,-1,-1,1,"A Google prototype autonomous vehicle (Google AV) operating in manual mode traveling eastbound on California Rd. in Mountain View, CA was involved in a minor accident. The Google AV was stopped at the intersection of Rengstorff Ave, waiting for pedestrians on Rengstorff Ave. to complete their crossing before it could turn right onto Rengstorff Ave. Another vehicle approaching from behind collided with the rear bumper of the Google AV .. The other vehicle was traveling at approximately 4 MPH at the time of the collision. The Google AV sustained minor damage to its rear hatch and bumper. There was no visible damage to the other vehicle. Neither party reported any injuries at the scene.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,08/16/2016,-1,1,2015,Google ,Self Driving Car,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,2009,Volkswagon,-1,0,-1,2,-1,-1,-1,"A Google Prototype autonomous vehicle (""Google AV"") travelling south eastbound on Phyllis Ave, in Mountain View in autonomous mode was involved in an accident. In preparation for making a right turn onto Grant Rd., the Google AV entered the right-turn slip lane and advanced forward at 6 MPH to gain a better view of traffic travelling southbound on Grant Rd. As the Google AV moved forward, it detected a vehicle approaching southbound on Grant Rd, and came to a stop to yield to that vehicle. Approximately one second later, a vehicle approaching from behind the Google AV at approximately 5.MPH collided with the rear bumper of the Google AV. The Google AV experienced moderate damage to its rear bumper and hatch. The other vehicle experienced mild damage to its front bumper. There were no injuries reported at the scene by either party.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,09/02/2016,10:41,0,2015,Google ,Self Driving Car,-1,Phyllis and Grant,Mountain view ,Santa Clara,CA,94040,1,-1,2,-1,-1,2011,Ford Taurus,-1,0,-1,2,-1,-1,0,"A Google prototype autonomous vehicle (""Google AV"") travelling southeast on Phyllis Ave, in Mountain View in autonomous mode was involved in an accident. In preparation for making a right turn onto Grant Rd., the Google AV entered the right-turn slip lane and advanced forward to gain a better view of traffic traveling southbound on Grant Rd. As the Google AV moved forward, it detected an oncoming vehicle (traveling southbound on Grant Rd.) and came to a stop in order to yield to the oncoming vehicle. Approximately one second later, a vehicle approaching from behind the Google AV collided with the rear bumper of the Google AV at an approximate speed of 15 mph. The Google AV experienced moderate damage to its rear bumper and hatch. The other vehicle experienced minor damage to its front bumper. There were no injuries reported at the scene by either party.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,09/07/2016,06:47,1,2015,Google,Self Driving Car,-1,Nita Avenue & San Antonio Road,PALO ALTO ,Santa Clara,CA,94306,0,-1,2,-1,-1,2014,Mercedes Sprinter,-1,0,-1,2,-1,-1,0,"A Google prototype autonomous vehicle (""Google AV"") proceeding westbound in autonomous mode on Nita Avenue in Palo Alto was involved in an accident. The Google AV came to a stop at the intersection of San Antonio Road, then, in preparation for making a right turn on San Antonio Road, began to gradually advance forward in order to gain a better view of cross-traffic. A 12-passenger shuttle van waiting immediately behind the Google AV then advanced forward at approximately 7 mph and collided with the rear bumper of the Google AV. The Google AV was travelling at approximately 3 mph at the time of the collision. The Google AV experienced minor damage to its rear bumper and hatch. The other vehicle experienced minor damage to its front bumper and right headlight. There were no injuries reported at the scene by either party.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,09/14/2016,03:06,1,2015,Google,Self Driving Car,-1,El Camino Real,Los Altos,Santa Clara,CA,94022,0,-1,1,-1,-1,2014,nissan Versa,-1,0,-1,1,-1,-1,1,"A Google prototype autonomous vehicle (""Google AV"") traveling eastbound in manual mode on El Camino Real in Los Altos was involved in an accident. As the Google AV was completing a lane change in autonomous mode from the far right lane to the middle lane of El Camino Real near the intersection of Showers Drive, a car stopped in traffic in the far left lane of El Camino Real abruptly changed lanes into the middle lane, immediately in front of the Google AV. The Google AV test driver took manual control of the Google AV and quickly merged back into the far right lane to avoid the vehicle. Another vehicle approaching from behind in the right lane of El Camino Real then struck the rear passenger side quarter panel of the Google AV at approximately 23 mph. The Google AV was travelling at approximately 14 mph at the time of the collision. The Google AV sustained minor damage to its rear passenger-side tire, quarter panel, and door. The other vehicle sustained moderate damage to its front bumper and front driver-side fender. There were no injuries reported at the scene by either party.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,09/23/2016,11:58,0,2012,Lexus,RX450h,-1,Phyllis and El Camino,Mountain view ,Santa Clara,CA,94040,0,-1,2,-1,-1,2004,Mercedes Sprinter 25004X2,-1,0,-1,2,1,-1,1,"A Google Lexus-model autonomous vehicle (""Google AV"") traveling northbound on Phyllis Ave. in Mountain View in manual mode was involved in an accident. As the Google AV proceeded through a green light at the El Camino Real intersection, its autonomous technology. detected another vehicle traveling westbound on El Camino Real approaching the intersection at 30 mph and began to apply the Google AV's brakes in anticipation that the other vehicle would run through the red light. The Google AV test driver then disengaged the autonomous technology and took manual control of the Google AV. Immediately thereafter, the other vehicle ran through the red light and collided with the right side of the Google AV at 30 mph. At the time of collision, the Google AV was traveling at 22 mph. The Google AV sustained substantial damage to its front and rear passenger doors. The other vehicle sustained significant damage to its front end. There were no injuries reported at the scene by either party. However, the Google AV test driver later voluntarily went to a local hospital where he was evaluated by medical staff and released.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,10/26/2016,10:27,0,2015,Google ,Self Driving Car,-1,El Camino Real,Mountain view ,Santa Clara,CA,94043,0,-1,1,-1,-1,2015,Prius,-1,0,-1,1,-1,-1,0,"A Google prototype autonomous vehicle (""Google AV"") traveling southbound in autonomous mode on Shoreline Boulevard in Mountain View was involved in an accident. The Google AV entered a slip lane in order to turn right onto El Camino Real and came to a stop to yield to westbound traffic on El Camino Real. As the Google AV began to move forward onto El Camino Real, another vehicle immediately behind the Google AV collided with the rear of the Google AV. At the time of the collision, the Google AV was traveling at approximately 3 mph, and the other vehicle was traveling at approximately 6 mph. The Google AV sustained minor damage to its rear hatch. The other vehicle sustained minor damage to its front bumper. There were no injuries reported by either party at the scene.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,12/11/2016,11:36,0,2012,Lexus,RX450H,-1,El Camino Real and Rengstorff,Mountain view ,Santa Clara,CA,94040,0,-1,2,-1,-1,1997,Toyota Corolla,-1,0,-1,2,-1,-1,0,"A Google Lexus autonomous vehicle (""Google AV"") traveling southwest in autonomous mode on Rengstorff Ave. in Mountain View was involved in an accident. As the Google AV made a left turn onto El Camino Real from the outside left turn lane, another vehicle in the inside left turn lane also turning left onto El Camino Real crossed into the outside left turn lane and collided with the driver's side of the Google AV. The Google AV test driver immediately disengaged the autonomous technology, took manual control of the vehicle and brought it to a stop at the side of El Camino Real. The Google AV sustained damage to its driver-side doors. The other vehicle sustained damage to its front bumper. The Google AV was traveling approximately 20 mph and the other vehicle was traveling approximately 15 mph at the time of the collision. There were no injuries reported at the scene by either party.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
GM Cruise LLC,Cruise  ,02/16/2017,08:38,0,2017,Chevrolet,Bolt,-1,Approx 1120 Golden Gate,San Francisco,San Francisco,CA,94115,0,-1,3,-1,-1,2010,Subaru Forester,-1,0,-1,3, 0 2 5,0 2 5,0,"A Cruise autonomous vehicle (""Cruise AV"") was involved in an accident in San Francisco while travelling eastbound on Golden Gate.
Avenue between Webster and Buchanan streets. The Cruise AV was operating in autonomous mode at the time of the accident.

The intersection at Buchanan does not allow for vehicular cross traffic but is controlled by a crosswalk with yellow lights that flash when
activated. As the Cruise AV was approaching. The crosswalk at Buchanan, the yellow lights were flashing. The Cruise AV slowed, paused
briefly before, the crosswalk, and then began to proceed. The vehicle immediately behind the Cruise AV, a Toyota Highlander; also slowed
and paused in concert with the. Cruise AV. A third vehicle, a Subaru, located behind the Toyota, did not slow and collided with the-Toyota,
causing the Subaru's airbags to deploy. That, collision pushed the Toyota into the back of the Cruise A.V ..

None of the occupants of the Cruise AV or Toyota-reported injuries at the scene, and the driver of the Subaru intended to seek medical
evaluation for knee pain from the collision. The Cruise vehicle sustained minimal damage to its rear bumper. The Toyota sustained minor
visible damage to its front and rear bumpers. The Subaru sustained minor. visible drainage to its front end.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
GM Cruise LLC,Cruise  ,03/22/2017,01:30,1,2017,Chevrolet,Bolt,CA,NW Corner of 10th and Division,San Francisco,San Francisco,CA,94103,0,-1,2,-1,-1,2015,Mercedes ML350,-1,0,-1,2,5,5,0,"A Cruise autonomous vehicle (""Cruise AV"") was traveling southbound on Tenth Street in San Francisco in autonomous mode. The Cruise
AV was stopped at a red light with a Mercedes behind it, also stopped. The Cruise AV began moving forward after the light turned green
and was traveling at 2 mph when the Mercedes collided with the rear of the Cruise AV. The approximate speed of the Mercedes at the time
of impact was 4 mph.

None of the occupants of the Cruise AV or Mercedes reported injuries at the scene. The Cruise AV sustained minor damage to its rear
bumper. The Mercedes sustained minor visible damage to its front bumper.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
GM Cruise LLC,Cruise  ,03/23/2017,10:36,0,2017,Chevrolet,Bolt,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,2016,Ford F-250,-1,0,-1,2,5,5,0,"A Cruise autonomous vehicle (""Cruise AV"") was traveling westbound on Broadway in San Francisco in autonomous mode and was in the
process of passing a mobile crane truck that was double parked, blocking the westbound lane. During this maneuver, a Ford F-250
approached and simultaneously went around both the Cruise AV and the crane truck. While the Ford made its pass, the Cruise AV stopped.
As the Ford completed its pass and turned back into the forward lane of travel, the Ford clipped the front, driver's side sensor of the Cruise
AV. At the time of impact, the Cruise AV was stopped and the Ford was traveling at approximately 4 miles per hour.

None of the occupants of the Cruise AV or Ford were injured. The Cruise AV sustained minor damage to its front, driver's side sensor and
mount. The Ford sustained minor visible damage to its rear, passenger's side tire.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
